"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Would you like to submit this report anonymously?","Date of Observation","Location","Are machines used in the process?","Can you specify types of machines/ equipment","Notes from the location","Pictures","State","District","River","Published Date"
"Damodar River, North East Bank Mining Site - 10th March 2024","N/A","10-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,23.208027,87.858181
","Yes","Trucks, JCB","Pictures and location are of a stockpile / depot. Actual mining site is further downstream, was not accessible from our viewpoint. Observed 5 - 10 parked trucks (empty), and 1 JCB + 1 truck with a full load of sand reversing into the stockpile  / depot","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fbecharhat_mine_bcee07ab-3016-48cc-9c2d-5ef108aa3794.jpeg?generation=1710151787835692&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fbecharhat1_ea13ecec-368e-458e-81d8-c48496f179a8.jpeg?generation=1710151008014253&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fbecharhat_6733df39-2e52-4609-99ad-f9f3de1e18b5.jpeg?generation=1710150902650269&alt=media","West Bengal","Barddhaman","Damodar","11-03-2024"
"Damodar River, Around Ajay Setu - 11th March 2024","N/A","11-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,23.616152505234695,87.5259840615229
2,23.618457534071087,87.52984314280604
3,23.612354479277876,87.51344198227001
4,23.61154000846964,87.53541549592295
","Yes","multiple JCBs, trucks and dump trucks. The site on the downstream side has 2 boats with jet suction, JCBs and a long line of trucks","Heavily mined site on a narrower stretch of the river. Mining was happenning in atleast 4 distinct sections, with larger dump trucks and 10 wheelers on the upstream side, and jet suction boats, JCBs and trucks on the downstream side.


District is actually Paschim Bardhaman","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240311_044827344_ada74c55-0687-4a32-a9c8-bad72422b539.jpeg?generation=1710152972282966&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240311_044826032_2ae775f3-935d-4769-b156-b88e28c02048.jpeg?generation=1710152967459844&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240311_044813166_c9b28981-6e5d-4116-85dc-3ec36732d7dc.jpeg?generation=1710152962597204&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240311_044256257_566d382a-87cb-41f1-8433-779af62cb116.jpeg?generation=1710152955019156&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240311_044210699_cdb6abe3-5e72-4de2-b306-f721fc99fd67.jpeg?generation=1710152949418442&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240311_044209727_cb8be17b-e860-4298-9f8b-141c72311a53.jpeg?generation=1710152944094676&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240311_043757081_d92cad66-d5a4-45f7-bc3c-4fed617ad419.jpeg?generation=1710152842094189&alt=media","West Bengal","Barddhaman","Damodar","11-03-2024"
"Mining on the Ajay near Harinathpur, 12th March 2024","N/A","12-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,23.598731,87.570317
","Yes","JCB, Jet suction machine, trucks, boats. ","Large mining site on the South Bank of the Ajay near Harinathpur. 

Observed a jet suction machine + boat being used, along with multiple JCB and trucks. 

Small office + stockpile at site. 

Spoke to one miner at site (manual laborer from Birbhum) -- he cautioned to stay away from jet suction machine since it made the river bank unstable. 

After leaving site, we were stopped by miners, who were worried that we had taken pictures of the jet suction machine + boat, and mentioned that it could cause problems for them. ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fajay5_8fed59b7-24aa-4ccd-a88a-5ac8d6a0be6a.jpeg?generation=1710154523801394&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fajay4_d3157727-ba5c-4c9b-adad-f32e10639af8.jpeg?generation=1710154438660926&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fajay3_2dd2f8ab-a832-4aad-ad98-affc1898a66b.jpeg?generation=1710154359955350&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fajay2_e5535bef-09f2-478d-b082-a745cc8916fa.jpeg?generation=1710154323396198&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fajay1_b15987cb-c6d4-4f29-8c26-bfafe4766a5e.jpeg?generation=1710153901831974&alt=media","West Bengal","Barddhaman, Birbhum","Ajay","11-02-2025"
"Damodar River, Aban Setu - 10th March 2024","N/A","10-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,23.61702334810349,87.70157999207548
","Yes","Tractors and laborers","Just upriver from Aban setu. About 15 tractors with presumably manual laborers working the site.


District is actually Purba Bardhaman","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240310_105150589_573a6a50-08b1-429e-a8f9-3a648a68009b.jpeg?generation=1710154048778016&alt=media","West Bengal","Barddhaman","Damodar","11-03-2024"
"Akalwara, Madhya Pradesh - Narmada River, 10th March 2024","No","10-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,22.09227,75.01138
","No","N/A","I noticed many tractor marks - two kinds of marks mostly - one of a tractor and another was, I think, a machine that is used to extract sand, maybe a small dredger. I was travelling with the Narmada Bachao Aandolan (NBA) activists in their van. They told me that people recognise them, especially the people involved with the Sand Mafia and they immediately call and inform those on the sites to pack and leave or hide their machines and equipment. As soon as we reached the Akalwara sand mining site in Barwani district in Madhya Pradesh, we noticed a tractor scrambling away from the site and people running away with it. 

I could see mounds and heaps of sand next to deep dug pits. It looked artificially dug up and evidently not a result of wind and water erosion near the banks. The tractor marks, the pattern of pits and mounds alternatively and the tractor driving away rapidly were signs that illegal sand mining definitely takes place here ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3515_429aa601-35a1-4c7b-8a0a-04a0710f268b.jpeg?generation=1710673073448465&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3516_ae818c94-45d1-44ef-ac7a-d2222518f4eb.jpeg?generation=1710673074058791&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3276_bd84be38-f100-4574-9c7b-6baa2cde637a.jpeg?generation=1710673057842446&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3286_1c7085f4-230a-4319-8299-eabd9604c67f.jpeg?generation=1710673059996647&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3507_e45baad8-95c5-464a-936c-6211da0b9159.jpeg?generation=1710673060498427&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3508_68a74074-d229-46ec-9334-1866d0314906.jpeg?generation=1710673061097565&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3509_bd5d61ec-7a88-4fba-93a2-a61464488a8a.jpeg?generation=1710673061672347&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3510_a4a4900d-e3ab-428c-8591-89a596b98f7d.jpeg?generation=1710673062265261&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3511_3951fc7f-8932-4ff3-b110-2976d4660502.jpeg?generation=1710673062860689&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3512_e411a1f7-27c9-461c-851d-ab1279ed5337.jpeg?generation=1710673063472089&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3513_9e058fe8-70f0-4718-a431-618dfad58e5f.jpeg?generation=1710673064052885&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3514_8d52c02d-e021-4c48-9b20-0e3ff6214f8e.jpeg?generation=1710673064649215&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3243_243ddb16-0c16-4eb0-846a-3c0dd3c41457.jpeg?generation=1710673029263146&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3244_1ad9c85a-55c2-4d5c-b591-1cc56fc0b667.jpeg?generation=1710673031809552&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3273_767b7b96-7abd-4d73-b2e2-a37ea01f66c7.jpeg?generation=1710673033754628&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_3241_d9fef9fc-828e-4382-8026-c325f17c73a1.jpeg?generation=1710673013979207&alt=media","Madhya Pradesh","Dhar","Narmada","26-03-2024"
"Mandawar Village - Shamli District, Uttar Pradesh, Yamuna River - 22nd March 2024","N/A","22-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,29.453350,77.130040
","Yes","5 excavators. Multiple trucks and tractors trollies.","5 excavators were mining sand directly from within the river. And multiple trucks and tractors trollies were running all over the floodplains carrying this sand away from the river.


Our assessment based on official documents says that:


1. There has not been any auction for the sand here.

2. There is no District Survey Report that forms the basis of any auctions


Locally sourced information says that about 200 trucks are taking sand away from this location per day, each selling at a base price of ₹5000.


At 8 months of operation in a year (or till the time that the sand runs out), that comes out to be ₹10,00,000 per day or ₹3,00,00,000 per month or ₹24,00,00,000 over a period of 8 months. This is lost public revenue.


The map above is showing from a day when there was cloud cover, so I've included a satellite image of the location from 20th December 2023 and 19th March 2024 to show you the location and give you a sense of what's going on. See how the sand bank vanishes.


Imagery source: Sentinel-2 L2A.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2024_03_28_at_10_8a3a07db-4689-44ac-a75a-f0785e5e77cc.jpeg?generation=1711600734917786&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2024_03_28_at_10_0818b0e4-fc46-446b-ba35-19e7e7a42d67.jpeg?generation=1711600612919574&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsid00265_893b7c82-41f0-4e47-b7c9-38cd88e218c1.jpeg?generation=1711600486770205&alt=media","Uttar Pradesh","Shamli","Yamuna","28-03-2024"
"Yamuna river, Sector-125/126, NOIDA, Gautam Buddh Nagar, UP- 07.12.2021","N/A","07-12-2021 18:30:00","Serial Number,Latitude,Longitude
,28.53600000 N,77.32794444 E
","Yes","Poclain machines, Excavators, trucks","The site was being mined for sand. I could remember seeing at least two poclain machines extracting the sand from the middle of the river channel which is basically against the guidelines of Uttar Pradesh Minor Minerals (Concession) Rules, 2021. Artificial sand bars had been created to direct the river flow. Scores and scores of trucks laden with sand could be seen every day. There's an entire makeshift settlement for the laborers who are being employed to mine sand. The location is about a kilometer downstream from Okhla Bird Sanctuary. 

The people at the site asked us not to take any pictures and leave the site. We were also questioned about where are you from, are you a journalist, what have you come here for, etc.? ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fdec_2021_559d9d5f-e027-4a07-8b74-9c3bbdf19e80.jpeg?generation=1718795493296582&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fdec_2021_2_4e323933-c134-45b7-9a9a-2c08accb1a7a.jpeg?generation=1718795485910571&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_4201_a1a81f01-ad02-4b2d-a12f-2cb69bcb718c.jpeg?generation=1718795414109474&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_4206_b2d9fc02-985a-4105-be88-b46f0f92ac28.jpeg?generation=1718795399744384&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_4205_d05dd6f0-eb33-4d07-b0f2-9f61010c0db4.jpeg?generation=1718795384095831&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_4202_9f4f25c3-a629-4292-a6ec-b1ed2a65aa4f.jpeg?generation=1718795368198310&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_4203_0da57a6a-a9f1-4844-91ac-329fc85efc36.jpeg?generation=1718795358007204&alt=media","Uttar Pradesh","Gautam Buddha Nagar","Yamuna","20-06-2024"
"Saharsa district, Bihar - Kosi - 5th Feb 2023","N/A","05-02-2023 18:30:00","Serial Number,Latitude,Longitude
1,25.70309099 ,86.54292704
,,
","Yes","JCB","bar skimming","N/A","Bihar","Saharsa","Kosi (Bihar)","16-08-2024"
"Kosi River - Saharsa, Bihar - 15th August 2024","N/A","15-08-2024 18:30:00","Serial Number,Latitude,Longitude
1,25.70309099,86.54292704
","Yes","JCB","bar skimming
","N/A","Bihar","Saharsa","Kosi (Bihar)","28-08-2024"
"Bhagalpur district, Bihar - Kosi River - 09th February 2023","N/A","09-02-2023 18:30:00","Serial Number,Latitude,Longitude
,25.42146198,87.06254804
","Yes","JCB","Bar Skimming, Data from WCT
","N/A","Bihar","Bhagalpur","Kosi (Bihar)","19-08-2024"
"Kosi River - Bhagalpur, Bihar - 09th February 2023","N/A","09-02-2023 18:30:00","Serial Number,Latitude,Longitude
,25.42146198,87.06254804
","Yes","JCB","Bar Skimming, Data from WCT","N/A","Bihar","Bhagalpur","Kosi (Bihar)","27-08-2024"
"Bhagalpur district, Bihar - Kosi River - 9th February 2023","N/A","09-02-2023 18:30:00","Serial Number,Latitude,Longitude
,25.42146198,87.06254804
","Yes","JCB","Bar Skimming, Data from WCT","N/A","Bihar","Bhagalpur","Kosi (Bihar)","19-08-2024"
"Bhagalpur district, Bihar - Kosi River - 9th Feb 2023","N/A","09-02-2023 18:30:00","Serial Number,Latitude,Longitude
,25.42146198,87.06254804
","Yes","JCB","Bar Skimming, Data from WCT
","N/A","Bihar","Bhagalpur","Kosi (Bihar)","16-08-2024"
"Lakhimpur-Kheri district, Uttar Pradesh - Ghaghra River - 20th May 2023","N/A","20-05-2023 18:30:00","Serial Number,Latitude,Longitude
,28.16910197,81.08336904
","Yes","JCB","1 JCB, Data from WCT","N/A","Uttar Pradesh","Kheri","Ghaghra","16-08-2024"
"Lakhimpur-Kheri, Uttar Pradesh - Ghaghra River - 22nd May 2023","N/A","22-05-2023 18:30:00","Serial Number,Latitude,Longitude
,27.35596499,81.38454004
","Yes","JCB","1 JCB, Data from WCT","N/A","Uttar Pradesh","Kheri","Ghaghra","16-08-2024"
"Ghaghra River - Barabanki, Uttar Pradesh - 22nd May 2023","N/A","22-05-2023 18:30:00","Serial Number,Latitude,Longitude
1,27.30165403,81.40338499
","Yes","Dredger","Dredging, Data from WCT
","N/A","Uttar Pradesh","Bara Banki","Ghaghra","28-08-2024"
"Bahraich district, Uttar Pradesh - Ghaghra river -  22nd May 2023","N/A","22-05-2023 18:30:00","Serial Number,Latitude,Longitude
1,27.27556301,81.42106502
2,27.2837,81.42375302
3,27.18936503,81.48582696
","Yes","Dredger","Dredging, Data from WCT
","N/A","Uttar Pradesh","Bahraich","Ghaghra","16-08-2024"
"Sant Kabir Nagar district, Uttar Pradesh - Ghaghra River - 27th May 2023","N/A","27-05-2023 18:30:00","Serial Number,Latitude,Longitude
,26.50445902,82.93898402
","Yes","JCB","1 JCB, Data from WCT","N/A","Uttar Pradesh","Sant Kabir Nagar","Ghaghra","16-08-2024"
"Ambedkar Nagar district, Uttar Pradesh, Ghaghra River - 27th May 2023","N/A","27-05-2023 18:30:00","Serial Number,Latitude,Longitude
,26.50495598,82.93817198
","Yes","JCB","1 JCB Used, Data From WCT","N/A","Uttar Pradesh","Ambedkar Nagar","Ghaghra","19-08-2024"
"Ambedkar Nagar district, Uttar Pradesh - Ghaghra River - 27nd May 2023","N/A","27-05-2023 18:30:00","Serial Number,Latitude,Longitude
,26.50495598,82.93817198
","Yes","JCB","1 JCB, Data from WCT","N/A","Uttar Pradesh","Ambedkar Nagar","Ghaghra","16-08-2024"
"Ambedkar Nagar district, Uttar Pradesh - Ghaghra rive - 28th May 2023","N/A","28-05-2023 18:30:00","Serial Number,Latitude,Longitude
,26.39364699,26.39364699
","Yes","Dredger","Dredging, Data from WCT
","N/A","Uttar Pradesh","Ambedkar Nagar","Ghaghra","28-08-2024"
"Gorakhpur district, Uttar Pradesh - Ghaghra river - 28th May 2023","N/A","28-05-2023 18:30:00","Serial Number,Latitude,Longitude
,26.28382201,83.413791
","Yes","JCB","1 JCB, Data from WCT","N/A","Uttar Pradesh","Gorakhpur","Ghaghra","16-08-2024"
"Deoria district, Uttar Pradesh - Ghaghra river - 29th May 2023","N/A","29-05-2023 18:30:00","Serial Number,Latitude,Longitude
,26.270301,83.706592
","Yes","Dredger","Dredging, Data from WCT
","N/A","Uttar Pradesh","Deoria","Ghaghra","16-08-2024"
"Ghaghra River - Saran district, Bihar - 31st May 2023","N/A","31-05-2023 18:30:00","Serial Number,Latitude,Longitude
,25.80329496,84.61156203
","Yes","JCB","5 JCB used in the Location, Data from WCT","N/A","Bihar","Saran","Ghaghra","28-08-2024"
"Gandak River - Kushinagar district, Uttar Pradesh - 18th November 2017","N/A","18-11-2017 18:30:00","Serial Number,Latitude,Longitude
,26.62630004,84.38403502
","Yes","JCB","Dredging, Sand and Pebble Mining, Data from WCT
","N/A","Uttar Pradesh","Kushinagar","Gandak","28-08-2024"
"Gandak River - Gopalganj, Bihar - 18th November 2017","N/A","18-11-2017 18:30:00","Serial Number,Latitude,Longitude
,26.56499002,84.44784796
","Yes","Dredger","Dredging, Sand and Pebble Mining, Data from WCT
","N/A","Bihar","Gopalganj","Gandak","28-08-2024"
"Gandak River - Muzzafarpur, Bihar - 20th January 2017","N/A","20-01-2017 18:30:00","Serial Number,Latitude,Longitude
,26.2968333,84.8268667
","Yes","JCB","Sand Excavation, 3-4 JCBs and Cranes, Data from WCT
","N/A","Bihar","Muzaffarpur","Gandak","27-08-2024"
"Gandak River - Muzaffarpur, Bihar - 20th November 2017","N/A","20-11-2017 18:30:00","Serial Number,Latitude,Longitude
,26.29051303,84.83086598
","Yes","JCB","Sand Excavation, 3-4 JCBs and Cranes, Data from WCT
","N/A","Bihar","Muzaffarpur","Gandak","28-08-2024"
"Mahananda River - Darjeeling, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
1,26.49731998,88.31488199
","Yes","JCB, Tractors","6 JCB, 12 tractors

Observations by WCT team","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","27-08-2024"
"Mahananda River - Darjeeling district, West Bengal - 16th November 2021 ","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.49731998,88.31488199
","Yes","JCB, tractors","Sand Mining, 6 JCB, 12 Tractors, Data from WCT
","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","28-08-2024"
"Mahananda River - Darjeeling district, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.49132198,88.30675296
","Yes","JCB, tractors","Sand Mining, 8 Tractors, 2 JCB, Data from WCT
","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","28-08-2024"
"Mahananda River - Uttar Dinajpur, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.48742699,88.30671902
","Yes","Rafts","Sand Mining, Data from WCT
","N/A","West Bengal","Uttar Dinajpur","Mahananda","28-08-2024"
"Mahananda - Uttar Dinajpur district, West Bengal - 16th November 2021 ","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.48652803,88.30663302
","Yes","Rafts, Tractors, Water Pumps","Sand Mining, Water Pumping, 6 rafts, 4 tractors, Data from WCT
","N/A","West Bengal","Uttar Dinajpur","Mahananda","28-08-2024"
"Mahananda River - Darjeeling, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.49021599,88.29519197
","Yes","Rafts","Sand and Boulder Mining, Gravel Panning, Data from WCT
","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","28-08-2024"
"Mahananda River - Uttar Dinajpur, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.47997104,88.27374796
","Yes","Rafts, Tractors","Sand Mining, 25 Panners, 4 Tractors, Data from WCT
","N/A","West Bengal","Uttar Dinajpur","Mahananda","28-08-2024"
"Mahananda River - Uttar Dinajpur district, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.48078903,88.26961904
","Yes","Rafts,Tractors","Sand Mining, 18 Panners, 5 Tractors, Data from WCT
","N/A","West Bengal","Uttar Dinajpur","Mahananda","28-08-2024"
"Uttar Dinajpur district, West Bengal - Mahananda River, 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.48028703,88.26862402
","Yes","Water Pumps","Sand Mining, Water Pumping, Data from WCT
","N/A","West Bengal","Uttar Dinajpur","Mahananda","19-08-2024"
"Darjeeling district, West Bengal - Mahananda River - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.46681799,88.25216196
","Yes","JCB, tractors, dredgers, stone crushers","Huge sand mining area, Local river dredging and stone crushing, 50+ JCBs and tractors, Data from WCT
","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","19-08-2024"
"Darjeeling district, West Bengal - Mahananda River - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.46543397,88.250213
","Yes","Dredgers, Water Pumps, Tractors","2 Dredgers, sand mining, water pumping, Data from WCT
","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","19-08-2024"
"Mahananda River - Darjeeling, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.45419098,88.24226998
","Yes","Rafts","Sand Mining, 3 Rafts, Data from WCT
","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","28-08-2024"
"Mahananda River - Darjeeling district, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.45176501,88.24002799
","Yes","Rafts, Tractors","Sand Mining, 3 Tractors, 2 Rafts, Data from WCT
","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","28-08-2024"
"Mahananda River - Kishanganj district, Bihar - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.447967,88.23284998
","Yes","Rafts","Sand Mining, 4 Rafts, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","28-08-2024"
"Mahananda River - Kishanganj district, Bihar - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.44097297,88.22670504
","Yes","Rafts, Boats, Tractors","Sand Mining, 4 boats, 3 tractors, 1 raft, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","28-08-2024"
"Mahananda River - Kishanganj district, Bihar - 16th November 2021 ","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.43895201,88.22440504
","Yes","Boats","Sand Mining, 1 boat, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","28-08-2024"
"Mahananda River - Kishanganj district, Bihar - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.43804199,88.22248802
","Yes","Boats","Sand Mining, 3 boats, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","28-08-2024"
"Kishanganj district, Bihar - Mahananda Rover - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.43763798,88.21507196
","Yes","Boats, Tractors","Sand Mining, 2 boats, 1 tractor, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","19-08-2024"
"Mahananda River - Kishanganj, Bihar - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.43718603,88.21010099
","Yes","Boats","Sand Mining, 1 boat, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","27-08-2024"
"Mahananda River - Kishanganj district, Bihar - 17th November 2021","N/A","17-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.37092097,88.13649899
","Yes","Boats","Sand Mining, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","28-08-2024"
"Kishanganj, Bihar - Mahananda River - 17th November 2021","N/A","17-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.36474904,88.12941603
","Yes","Tractors","Sand Mining, 1 Tractor, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","19-08-2024"
"Mahananda River - Kishanganj, Bihar - 17th November 2021","N/A","17-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.34102196,88.10750901
","Yes","Rafts","Sand Mining, 2 rafts, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","27-08-2024"
"Mahananda River - Kishanganj, Bihar - 18th November 2021 ","N/A","18-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.24727599,88.00648302
","Yes","Dredgers, JCBs, Tractors","Sand Mining - large area, 2 dredgers, 3 JCB, 3 tractors, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","28-08-2024"
"Mahananda River - Kishanganj, Bihar - 19th November 2021","N/A","19-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.01919401,87.84528502
","Yes","Rafts","Rafts, Sand Mining, Data from WCT
","N/A","Bihar","Kishanganj","Mahananda","28-08-2024"
"Purnia district, Bihar - Mahananda River - 20th November 2021","N/A","20-11-2021 18:30:00","Serial Number,Latitude,Longitude
,25.86500304,87.80842602
","Yes","JCB, Tractors","Sand Mining, 1 JCB, 1 tractor, Data from WCT
","N/A","Bihar","Purnia","Mahananda","28-08-2024"
"Mahananda River - Katihar, Bihar - 23rd Nov 2021","N/A","23-11-2021 18:30:00","Serial Number,Latitude,Longitude
1,25.4279,87.76584
","Yes","JCBs, Tractors","JCBs and tractors observed at the mining location. ","N/A","Bihar","Katihar","Mahananda","20-08-2024"
